# Commit map for the 2026-09-22 history rewrite
#
# Large regenerable artifacts (prediction arrays, fitted models, processed
# parquets) were removed from the git history with git-filter-repo, which
# rewrites every commit hash. experiments/runs.csv records the commit each run
# was trained on in its git_hash column; use this map to translate those
# pre-rewrite hashes to the current ones. An archival bundle of the original
# history is kept offline.
#
# old_hash new_hash

afbebd9a83c4486fd4ab7e6d5517cc40c7e42583 1868e9d9e86c661c4544e6bbbb2ef2fcf6a2560f
b0f30583eeefcca3d8fd2009c772dd92b3aff799 e75cc82b0907383b8cad495cf122624afa4af698
b294a4dab17eec2f5d6cbf76eecae9436d261969 ef125ac3f37220b82ae9a4ebeb9439135daff353
b7dd09bd0719757216bcf285dd2531b644e7f0a8 778468f080a96f0e456cfa8bd61af9d4c91ec815
b8e87181deb64bba6ffa304e5626fc02e5fa069d 1768f4635d8432303db32c304e68b64761d8fd36
b91118eb2da38e0891abed1d2dc5592ff71d6cd0 f05014d32c9e17ef7bb2f413199df99a01efeaeb
b9e7ac4fe273e68f56315b09568e35ab8c1e607c 797e7b3505a8b0483564c03174187524d4acc622
bf477151a51a41913d7463ea7b9f27cb76b4d26a 89c285f057706ce4480d1f084245b9da9aa73f4e
c09c1ad8b80ec5446de766249ad11457b294b8f7 a51b8140d564e25daae6094df871d0448050674f
c6fb79352cbe8eb1599286e149c7448e04ca6b55 8ad939a79148dddf027024d6a498eb04b8130ef8
cb4731160009573ba179b9dc85b6b84b7c5aa158 9eae624cf47dba3471fc7bb54461bc21683e51b7
cc3b625b6ad37b3e61226d25a5ba7c0aaee39d1a ae5308800f8babafbd35cf1274fd242246e47c36
cef4bdab201ccacf8404c402572f540b8270a035 b83cd42e3f98039542eea17ca664edb1979caeb9
cfa7788215a7fe9765874caaeb333c15c2d06936 c0c5f7658f8a05b1f08d442cac7a68e5d4f820ac
d072c64db01000fa1d796a56f34d63399826fb08 b5d9bb514a498efcc5ded0125bce6ee00c54acab
d15f42e19d05e36ef3620e8d484d32b54c7fd5a7 cf7375e89ef41b0b2105bb3721ee295ff3fbdd51
d6ccce7ee6ede4846359cfcd14215294c2502b2e 6501f303263a0fe9b892a12a880a15314bd4ab2a
ded868490dae3ac8f3e8352fd26ed5f6497d881d da51f4012698449500f3ffa95d201916aa2150c5
e4bf4bea43d5bcd03812c956e0bf7c1275438645 9fa479c779fd6dddeb4a324d138f5232286fe8ad
e4e8d5d9ce2b0680c480012afa124b2ebf81452c 180b0e142108766b3ec64deba322209a8a5b00bb
e999c332d3e883fcd5752ea85bb8a8cecbeed34f b490c2bc2173cb7b9ba35f3b1e98aa8a71afdbf7
eaf11b4ce0abb7099e168c669994f56774e16b72 0e8680da4e78e6c8f4a290045f53ff988964c5b8
ed773d8b301a9550ae3380656d844804b91f01e4 ef91084253bd0218afdc81d322ef8f7d81e29032
f1fc1427b5ae02f73aa34beb7b020863e7d78e23 a3a3f821267ff4cf23b84264ef15b32de6e3cfc8
f46299cdef47a413bd5841712c1d83675b3ba856 faa5f0076df2605d811d2419acec9299edcd5671
f611d970081219f5a1401e95d3926e7b3eb30864 b4377aaee38cbf931c3b97f42d98e8698a119031
f7d311144ebe84e8fae67b9eb64198734fce451f 219b013fb477c7ee93b4ff0382e9a3376da077e2
fbbdb36fb868bcdbc45122c3899ff8fd6d26b32d 5b999b8bed6f01447e3aeffd6b1ec01f75da0a5e
fd7c03e3eb9106b7d26606c4cbb6e9eb3cfd642d 5a4e6f89a4754955b5c827e7566da81fd557ecc9
